X;A;B;C;D;E;F;G;H;I;J;K;L;M;N;O;X
1;.;.;.;.;.;D;D;.;.;.;.;D;D;.;.;X
2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;X
3;.;.;H;.;.;H;.;.;.;S;.;.;.;Z;.;X
4;.;H;.;H;.;.;H;.;.;.;.;.;.;Z;.;X
5;.;.;.;.;.;H;.;.;.;S;.;.;.;Z;.;X
6;.;.;.;.;.;.;.;.;.;.;.;.;.;Z;.;X
7;.;.;H;.;.;H;.;.;.;S;.;.;.;Z;.;X
8;.;.;.;H;.;.;H;.;.;.;.;.;S;.;.;X
9;.;.;H;.;.;H;.;.;.;S;.;.;.;.;.;X
10;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;X
11;.;.;H;.;.;.;.;.;.;.;C;C;C;C;.;X
12;.;.;.;H;.;.;.;C;.;.;.;.;.;.; ;X
13;.;.;H;.;.;.;.;C;.;.;.;.;.;.;.;X
14;.;.;.;.;.;.;.;C;.;.;.;D;D;.;.;X
15;.;.;.;.;.;.;.;C;.;.;.;.;.;.;.;X
